Depth comp r [rmcd],Grey
143.48,413.031434
143.49,414.0754
143.5,422.535879
143.51,427.623168
143.52,433.668901
143.53,428.150816
143.54,429.266893
143.55,425.831948
143.56,421.014076
143.57,418.172832
143.58,408.236329
143.59,403.1517
143.6,402.646518
143.61,401.934638
143.62,398.810888
143.63,412.785088
143.64,429.523107
143.65,408.694157
143.66,424.078484
143.67,427.234372
143.68,398.465544
143.69,397.41769
143.7,403.226602
143.71,398.455547
143.72,401.351271
143.73,408.50647
143.74,400.298346
143.75,388.757964
143.76,399.818319
143.77,394.977424
143.78,396.167184
143.79,399.486219
143.8,385.178538
143.81,388.151752
143.82,380.170963
143.83,377.206375
143.84,380.272059
143.85,381.286976
143.86,377.111344
143.87,372.912708
143.88,382.137409
143.89,387.055823
143.9,384.672547
143.91,385.358494
143.92,382.554447
143.93,390.609133
143.94,374.604708
143.95,377.151896
143.96,388.985036
143.97,382.893376
143.98,383.683461
143.99,409.192409
144,421.649398
144.01,434.485242
144.02,422.251059
144.03,414.030697
144.04,437.822115
144.05,440.251399
144.06,442.217108
144.07,426.36186
144.08,439.506973
144.09,430.032826
144.1,424.853115
144.11,416.945803
144.12,412.957939
144.13,420.872994
144.14,411.190195
144.15,407.328739
144.16,398.961476
144.17,391.821947
144.18,380.211789
144.19,391.062319
144.2,375.110932
144.21,367.397193
144.22,362.270478
144.23,356.194739
144.24,356.028085
144.25,349.583062
144.26,339.198137
144.27,342.491971
144.28,332.939701
144.29,329.118566
144.3,332.942124
144.31,335.086618
144.32,329.257911
144.33,337.531929
144.34,343.994744
144.35,349.023546
144.36,358.891714
144.37,361.595656
144.38,353.275858
144.39,341.179265
144.4,345.584406
144.41,349.64885
144.42,342.039725
144.43,332.100456
144.44,327.566035
144.45,326.219316
144.46,323.906803
144.47,312.390987
144.48,318.537136
144.49,320.438473
144.5,324.430086
144.51,338.160024
144.52,346.086592
144.53,370.656494
144.54,380.281484
144.55,380.889257
144.56,378.8091
144.57,391.201914
144.58,387.527666
144.59,398.147886
144.6,402.535788
144.61,409.223384
144.62,400.592214
144.63,408.00823
144.64,412.808885
144.65,421.200182
144.66,429.484091
144.67,417.850141
144.68,442.697381
144.69,449.431751
144.7,458.271253
144.71,469.451611
144.72,482.308698
144.73,482.545092
144.74,520.374568
144.75,517.672658
144.76,511.428739
144.77,519.865792
144.78,511.459474
144.79,494.707889
144.8,480.894369
144.81,467.213882
144.82,459.661688
144.83,459.199634
144.84,452.116467
144.85,454.358249
144.86,452.176051
144.87,429.227937
144.88,422.17752
144.89,421.625959
144.9,425.598997
144.91,420.57631
144.92,409.211565
144.93,390.351889
144.94,397.559354
144.95,406.542741
144.96,396.625589
144.97,384.973957
144.98,380.502659
144.99,379.853183
145,364.774601
145.01,345.080699
145.02,350.052939
145.03,349.91076
145.04,347.337418
145.05,346.508778
145.06,352.459622
145.07,349.214637
145.08,352.980301
145.09,366.771579
145.1,375.269723
145.11,386.5762
145.12,400.81853
145.13,409.661758
145.14,411.450984
145.15,406.302694
145.16,396.610615
145.17,419.329147
145.18,426.83778
145.19,431.015471
145.2,439.604378
145.21,440.395151
145.22,447.921528
145.23,462.946398
145.24,447.414695
145.25,465.453941
145.26,472.881093
145.27,458.449854
145.28,456.866208
145.29,460.106262
145.3,443.835244
145.31,452.479617
145.32,442.046632
145.33,454.317742
145.34,456.46018
145.35,448.764533
145.36,430.190209
145.37,453.5928
145.38,446.901099
145.39,441.724907
145.4,408.800838
145.41,435.883255
145.42,425.259674
145.43,422.346698
145.44,418.572423
145.45,414.261987
145.46,402.849647
145.47,421.092014
145.48,405.749817
145.49,397.658137
145.5,392.019097
145.51,397.294994
145.52,391.979021
145.53,389.466701
145.54,387.913047
145.55,383.518579
