"","V1","V2"
"1",-7.2,4.74397061199265
"2",-7.19,4.74397007468639
"3",-7.18,4.74396955123929
"4",-7.17,4.74396904045365
"5",-7.16,4.74396854113179
"6",-7.15,4.74396805207601
"7",-7.14,4.74396757208864
"8",-7.13,4.74396709997198
"9",-7.12,4.74396663452834
"10",-7.11,4.74396617456004
"11",-7.1,4.74396571886939
"12",-7.09,4.74396526625871
"13",-7.08,4.74396481553029
"14",-7.07,4.74396436548647
"15",-7.06,4.74396391492954
"16",-7.05,4.74396346266182
"17",-7.04,4.74396300748563
"18",-7.03,4.74396254820327
"19",-7.02,4.74396208361705
"20",-7.01,4.7439616125293
"21",-7,4.74396113374232
"22",-6.99,4.74396064605842
"23",-6.98,4.74396014827991
"24",-6.97000000000001,4.74395963920912
"25",-6.96000000000001,4.74395911764834
"26",-6.95000000000001,4.7439585823999
"27",-6.94000000000001,4.7439580322661
"28",-6.93000000000001,4.74395746604926
"29",-6.92000000000001,4.74395688255168
"30",-6.91000000000001,4.74395628057569
"31",-6.90000000000001,4.74395565892359
"32",-6.89000000000001,4.74395501639769
"33",-6.88000000000001,4.74395435180031
"34",-6.87000000000001,4.74395366393376
"35",-6.86000000000001,4.74395295160036
"36",-6.85000000000001,4.7439522136024
"37",-6.84000000000001,4.74395144874222
"38",-6.83000000000001,4.74395065582211
"39",-6.82000000000001,4.74394983364439
"40",-6.81000000000001,4.74394898101137
"41",-6.80000000000001,4.74394809672537
"42",-6.79000000000001,4.7439471795887
"43",-6.78000000000001,4.74394622840366
"44",-6.77000000000001,4.74394524197258
"45",-6.76000000000001,4.74394421909776
"46",-6.75000000000001,4.74394315858151
"47",-6.74000000000001,4.74394205922616
"48",-6.73000000000001,4.743940919834
"49",-6.72000000000001,4.74393973920735
"50",-6.71000000000001,4.74393851614853
"51",-6.70000000000001,4.74393724945985
"52",-6.69000000000001,4.74393597733302
"53",-6.68000000000001,4.7439347375608
"54",-6.67000000000001,4.74393352834699
"55",-6.66000000000001,4.74393234789542
"56",-6.65000000000001,4.74393119440991
"57",-6.64000000000001,4.74393006609429
"58",-6.63000000000001,4.74392896115237
"59",-6.62000000000001,4.74392787778798
"60",-6.61000000000001,4.74392681420494
"61",-6.60000000000001,4.74392576860706
"62",-6.59000000000001,4.74392473919818
"63",-6.58000000000001,4.74392372418212
"64",-6.57000000000001,4.74392272176269
"65",-6.56000000000001,4.74392173014371
"66",-6.55000000000001,4.74392074752902
"67",-6.54000000000001,4.74391977212243
"68",-6.53000000000001,4.74391880212776
"69",-6.52000000000001,4.74391783574884
"70",-6.51000000000001,4.74391687118949
"71",-6.50000000000002,4.74391590665352
"72",-6.49000000000002,4.74391494034476
"73",-6.48000000000002,4.74391397046704
"74",-6.47000000000002,4.74391299522417
"75",-6.46000000000002,4.74391201281998
"76",-6.45000000000002,4.74391102145829
"77",-6.44000000000002,4.74391001934291
"78",-6.43000000000002,4.74390900467768
"79",-6.42000000000002,4.74390797566641
"80",-6.41000000000002,4.74390693051293
"81",-6.40000000000002,4.74390586742105
"82",-6.39000000000002,4.7439047845946
"83",-6.38000000000002,4.7439036802374
"84",-6.37000000000002,4.74390255255328
"85",-6.36000000000002,4.74390139974605
"86",-6.35000000000002,4.74390022001954
"87",-6.34000000000002,4.74389901157756
"88",-6.33000000000002,4.74389777262395
"89",-6.32000000000002,4.74389650136251
"90",-6.31000000000002,4.74389519599708
"91",-6.30000000000002,4.74389385473148
"92",-6.29000000000002,4.74389247576952
"93",-6.28000000000002,4.74389105731503
"94",-6.27000000000002,4.74388959757184
"95",-6.26000000000002,4.74388809474375
"96",-6.25000000000002,4.7438865470346
"97",-6.24000000000002,4.74388495264821
"98",-6.23000000000002,4.7438833097884
"99",-6.22000000000002,4.74388161665898
"100",-6.21000000000002,4.74387987146379
"101",-6.20000000000002,4.74387807240664
"102",-6.19000000000002,4.74387627895516
"103",-6.18000000000002,4.74387454893779
"104",-6.17000000000002,4.74387287809954
"105",-6.16000000000002,4.74387126218545
"106",-6.15000000000002,4.74386969694053
"107",-6.14000000000002,4.74386817810981
"108",-6.13000000000002,4.74386670143833
"109",-6.12000000000002,4.7438652626711
"110",-6.11000000000002,4.74386385755315
"111",-6.10000000000002,4.7438624818295
"112",-6.09000000000002,4.74386113124519
"113",-6.08000000000002,4.74385980154523
"114",-6.07000000000002,4.74385848847465
"115",-6.06000000000002,4.74385718777848
"116",-6.05000000000002,4.74385589520174
"117",-6.04000000000002,4.74385460648946
"118",-6.03000000000003,4.74385331738666
"119",-6.02000000000003,4.74385202363837
"120",-6.01000000000003,4.74385072098961
"121",-6.00000000000003,4.74384940518541
"122",-5.99000000000003,4.7438480719708
"123",-5.98000000000003,4.74384671709079
"124",-5.97000000000003,4.74384533629043
"125",-5.96000000000003,4.74384392531472
"126",-5.95000000000003,4.74384247990869
"127",-5.94000000000003,4.74384099581738
"128",-5.93000000000003,4.74383946878581
"129",-5.92000000000003,4.743837894559
"130",-5.91000000000003,4.74383626888198
"131",-5.90000000000003,4.74383458749976
"132",-5.89000000000003,4.74383284615739
"133",-5.88000000000003,4.74383104059988
"134",-5.87000000000003,4.74382916657227
"135",-5.86000000000003,4.74382721981956
"136",-5.85000000000003,4.7438251960868
"137",-5.84000000000003,4.743823091119
"138",-5.83000000000003,4.74382090066119
"139",-5.82000000000003,4.7438186204584
"140",-5.81000000000003,4.74381624625565
"141",-5.80000000000003,4.74381377379796
"142",-5.79000000000003,4.74381119883038
"143",-5.78000000000003,4.7438085170979
"144",-5.77000000000003,4.74380572434557
