"","xout_vals","mat_sim_mean","mat_sim_sd"
"1",422800.930393028,0.791863820558982,0.144152828641399
"2",422801.490651456,0.793344676948137,0.141577470914181
"3",422802.050909883,0.794939713233433,0.140624533427814
"4",422802.611168311,0.795435154805041,0.140222049703559
"5",422803.171426738,0.796195110207936,0.137271794502623
"6",422803.731685166,0.797730289846869,0.135184936119252
"7",422804.291943593,0.799813704044061,0.132384746044798
"8",422804.852202021,0.802780611719935,0.12593014097366
"9",422805.412460448,0.806258882396969,0.11978802358466
"10",422805.972718876,0.808685746625175,0.118192571320841
"11",422806.532977303,0.811424392920519,0.116008804019997
"12",422807.093235731,0.813957644290643,0.109605321373924
"13",422807.653494158,0.814944121119259,0.106652943248109
"14",422808.213752585,0.815609238792938,0.106938523239392
"15",422808.774011013,0.816729879424577,0.108157910842214
"16",422809.33426944,0.819089214412115,0.104520406762396
"17",422809.894527868,0.821724099139686,0.0992256565185599
"18",422810.454786295,0.824139389474595,0.094618478576077
"19",422811.015044723,0.825246984803934,0.093221709047601
"20",422811.57530315,0.824949762665501,0.0932287883118286
"21",422812.135561578,0.825419502136114,0.0925330211117987
"22",422812.695820005,0.82600762794505,0.0912416682222574
"23",422813.256078433,0.826596577439328,0.0903990755174441
"24",422813.81633686,0.826813590831677,0.0899753622678001
"25",422814.376595288,0.826713752076982,0.0894123284973501
"26",422814.936853715,0.826978036596956,0.0887718638027419
"27",422815.497112143,0.82732126340258,0.0889672181619174
"28",422816.05737057,0.827270880254879,0.0896239235613083
"29",422816.617628998,0.826359596875199,0.0896509516244886
"30",422817.177887425,0.825626294462745,0.0898044360249273
"31",422817.738145852,0.824298966553243,0.0898250210863205
"32",422818.29840428,0.822945003760904,0.0899182522007681
"33",422818.858662707,0.821633831190473,0.0899972090767693
"34",422819.418921135,0.81956947652708,0.0906880607154603
"35",422819.979179562,0.817472622711548,0.0919183124529126
"36",422820.53943799,0.815374405767758,0.0933461571377361
"37",422821.099696417,0.813653233630481,0.0941617802932236
"38",422821.659954845,0.811420253881624,0.0958472584455113
"39",422822.220213272,0.808717505539152,0.0992770760832854
"40",422822.7804717,0.804714027433645,0.107145697755921
"41",422823.340730127,0.800376619994719,0.115088625878296
"42",422823.900988555,0.795765305173395,0.118460436169681
"43",422824.461246982,0.792327190651395,0.122058988252454
"44",422825.02150541,0.788275925436557,0.13117438121064
"45",422825.581763837,0.786566585068526,0.133349035976258
"46",422826.142022264,0.785086330316651,0.136748085496103
"47",422826.702280692,0.784131588404164,0.143092386461972
"48",422827.262539119,0.78690631479242,0.138035733394169
"49",422827.822797547,0.789224770571738,0.127695511911343
"50",422828.383055974,0.790994844831054,0.121558537939604
"51",422828.943314402,0.792637812628616,0.11735094885801
"52",422829.503572829,0.794100506132333,0.11510644909423
"53",422830.063831257,0.795606557509716,0.109540060275678
"54",422830.624089684,0.795960102943361,0.105664763715284
"55",422831.184348112,0.798074389665735,0.101219335559622
"56",422831.744606539,0.798236761727466,0.102746345602829
"57",422832.304864967,0.797669784782827,0.104657574139054
"58",422832.865123394,0.798501319093614,0.102577746372663
"59",422833.425381822,0.798719615523908,0.101055056066927
"60",422833.985640249,0.798608411782225,0.102079754369211
"61",422834.545898677,0.798634844647938,0.100928197552723
"62",422835.106157104,0.797791597744387,0.100175921180779
"63",422835.666415531,0.7969088372181,0.10028797916265
"64",422836.226673959,0.795922254647659,0.100882121746861
"65",422836.786932386,0.795263995841573,0.101424620364008
"66",422837.347190814,0.794366483123205,0.101675542369575
"67",422837.907449241,0.793167665875375,0.102639130966113
"68",422838.467707669,0.790988827380371,0.106188455800033
"69",422839.027966096,0.789045805616331,0.109467727990946
"70",422839.588224524,0.787286394138929,0.110491001978325
"71",422840.148482951,0.784829450148075,0.113710582506006
"72",422840.708741379,0.782221448487986,0.118747221242577
"73",422841.268999806,0.779429331393678,0.124731901120513
"74",422841.829258234,0.776362383571393,0.130005656339247
"75",422842.389516661,0.773788171411266,0.135492944534915
"76",422842.949775089,0.770772970946523,0.143613529733799
"77",422843.510033516,0.766817329730697,0.154841440754562
"78",422844.070291944,0.763008392603125,0.163839750434569
"79",422844.630550371,0.759409693079021,0.170165263980625
"80",422845.190808798,0.756585303748256,0.174465385360767
"81",422845.751067226,0.754563666324937,0.178551348689857
"82",422846.311325653,0.751727121197174,0.181757145102408
"83",422846.871584081,0.750612989773608,0.181196518984955
"84",422847.431842508,0.749859665059932,0.181119246304078
"85",422847.992100936,0.750854361367121,0.176157452720977
"86",422848.552359363,0.750822972026469,0.172065366354058
"87",422849.112617791,0.749487801471613,0.170787190709827
"88",422849.672876218,0.748899385364669,0.169736191062047
"89",422850.233134646,0.747572344577499,0.171791555728381
"90",422850.793393073,0.747215537956052,0.172006500185245
"91",422851.353651501,0.749182795742198,0.165549248910402
"92",422851.913909928,0.74945897437835,0.164290816514396
"93",422852.474168356,0.748666194272675,0.168590381370538
"94",422853.034426783,0.749054446934892,0.166009645201516
"95",422853.59468521,0.749991417926035,0.162893340630809
"96",422854.154943638,0.750167882691181,0.162435040046253
"97",422854.715202065,0.750450961756285,0.161097242772281
"98",422855.275460493,0.750928278651184,0.159457182261749
"99",422855.83571892,0.752419350314238,0.156517196262126
"100",422856.395977348,0.754278046302276,0.152541989221438
"101",422856.956235775,0.754866728876225,0.150912374878935
"102",422857.516494203,0.755420333159587,0.149374248581993
"103",422858.07675263,0.757194908006135,0.145403625952411
"104",422858.637011058,0.757735215085275,0.143998410427527
"105",422859.197269485,0.759291791322296,0.14191291462735
