Depth,Magentic,Reflectance,d13c
110.98,6,61.8,2.232
111.08,4.8,56.8,
111.15,4.2,62.3,
111.2,5,64.3,1.786
111.25,3,61.3,
111.3,3.2,58.9,
111.37,3.1,57.8,
111.47,3.8,56.4,2.147
111.56,5.8,61.5,
111.63,4.4,55.9,
111.68,3.2,60.6,
111.72,5.2,64.1,1.909
111.77,3.8,62,
111.84,3.8,65.2,1.989
111.94,3.9,62.2,
112.02,4.9,62.1,
112.08,5,63.4,1.857
112.14,3.5,60.8,
112.2,4.3,62.8,
112.28,3.5,61.5,
112.37,3.9,61.6,2.105
112.46,4.4,60.5,
112.55,5.5,63.1,
112.61,4.3,59.8,
112.65,5.2,62.2,2.113
112.7,3.5,63.4,
112.74,5.3,58.1,
112.8,5.3,60.2,
112.89,4.3,56.5,
112.98,4,64.4,2.021
113.07,4.5,59,
113.17,3.6,58.9,
113.26,4.1,62.3,2.195
113.35,3.9,60.5,
113.44,4,62.7,
113.52,5.2,64.8,2.154
113.6,6.8,64,
113.69,3.5,61.5,
113.78,4.9,61.6,
113.87,4.1,63.6,2.097
113.96,4.1,62.3,
114.05,4.1,62,
114.14,4.2,63.1,
114.22,2.8,64.5,1.971
114.29,2.6,62.7,
114.4,4.1,61,
114.54,4.5,63.2,2.108
114.68,4.9,64.1,
114.79,7.1,62.6,2.156
114.86,7.5,64,
114.92,2.9,62.4,
114.98,6.5,59,
115.04,5.1,59.9,2.11
115.11,8.7,59.3,
115.17,9.3,59.1,
115.23,6.7,57.4,
115.34,11.4,52.4,2.047
115.49,8.4,55.8,
115.62,5.1,53.6,
115.71,13.1,48.1,
115.8,10.6,50.1,2.233
115.89,13.7,43,
115.98,8,52.9,
116.07,10.7,50.5,
116.17,12.7,53.1,2.134
116.27,11.9,53.3,
116.37,9.1,50.6,
116.47,10.3,48.4,
116.56,9.1,56.2,1.826
116.66,6.2,54.5,
116.75,8.5,51.8,
116.85,5.1,58.4,
116.95,6.2,62.3,1.978
117.05,8.2,61.2,
117.15,9.5,61.6,
117.25,3.7,62.3,
117.36,5.2,59.7,2.228
117.46,6.4,60.6,
117.56,4.1,62.8,
117.65,2.3,57.9,2.137
117.74,6,59.2,
117.83,4,57.5,
117.91,4.6,60.5,2.234
117.99,3.6,60.4,
118.07,3.8,57.3,
118.15,7.4,59.5,
118.23,5.1,56.9,2.051
118.3,5.5,58.2,
118.4,5.5,55.8,
118.53,8,58.4,2.231
118.65,3.1,56.9,
118.78,3.8,54.5,
118.87,6.1,60.3,
118.93,7.2,58.5,2.158
118.98,6.2,59.4,
119.04,6.6,57.9,
119.1,6.7,56.8,2.27
119.16,5.1,60.4,
119.22,4.2,59.7,
119.29,3.8,60.2,2.042
119.35,2.6,57.5,
119.42,5.2,61.2,
119.49,6.9,57.6,2.08
119.56,5.2,55.2,
119.62,5.5,60.4,
119.69,7.4,59.8,2.163
119.76,5.7,61.7,
119.83,5.2,53.9,
119.91,4.5,55.7,2.281
119.98,5,59,
120.06,3.5,60.5,
120.13,5.4,58.6,2.138
120.2,6,58.9,
120.29,4,60.8,
120.39,3.4,55.3,
120.49,3.4,60.5,2.255
120.58,5.5,63.1,
120.68,5.4,59.3,
120.78,2.9,58.6,
120.87,3.7,59.3,2.022
120.96,4.8,56.5,
121.05,3.9,61.2,
121.15,3.3,59.2,
121.25,5.3,60.3,2.177
121.35,4.4,59.9,
121.45,5.9,57.8,
121.53,4.8,57.8,
121.6,5.3,58.9,1.904
121.66,6.2,54.9,
121.75,5.3,60.3,
121.86,3,55.4,1.981
121.97,4.3,59.9,
122.05,3.2,54.9,
122.12,3.4,58.7,2.127
122.18,5.7,61.3,
122.25,4.9,59.5,
122.31,5,55.2,
122.38,6.7,57.8,1.924
122.45,5.1,58.1,
122.52,6.2,60.2,
122.6,5.6,60.3,
122.69,6.2,60.6,1.844
122.79,3.1,58.8,
122.88,4.2,61.4,
122.97,3,62.5,
123.05,3.5,55.8,1.834
123.12,3.1,53.7,
123.21,4.9,59.7,
123.3,6.5,58.5,1.972
123.39,7.9,55.7,
123.47,5.1,58.3,
123.64,7.5,56.8,
123.73,5.2,56,
123.79,5.8,55.1,
123.82,6.5,58.3,1.923
123.85,5.6,54.2,
123.89,6.6,56.1,
123.95,5.9,57.1,2.154
124.01,10,52.6,
124.06,7.1,57.6,
124.11,9.6,54,1.991
124.15,6.8,55.5,
124.19,5.7,61.2,1.985
124.23,7.9,54,
124.28,9.2,53.6,
124.33,8.3,59.3,2.027
124.38,4.3,58.2,
124.43,7.8,56.6,
124.48,9.7,47.1,1.868
124.53,6,54.6,
124.58,6.1,53.5,1.952
124.63,6.3,54.1,
124.68,8.6,51.3,
124.74,5.4,49,1.853
124.81,4.6,52.8,
124.87,4.2,55.8,
124.94,6.5,59.5,
125.03,6.8,60.4,2.011
125.11,5.1,56.1,
125.2,8.3,51.3,
125.3,8.2,45.1,
125.41,5.5,51.4,1.909
125.53,7,52.6,
125.64,6.4,49.5,
125.73,5.7,56.2,
125.8,8.8,59.6,1.918
125.86,7.2,58.8,
125.93,7.3,57.7,
126,4.9,53.9,
126.08,4.1,54,2.209
126.15,5.9,53.2,
126.23,8.9,57.7,
126.3,6.1,62.6,
126.37,7,56.5,
126.43,6.5,56.8,1.836
126.49,7.9,58.6,
126.56,6.3,59.2,
126.63,5.7,53.4,
126.72,11.1,55.7,2.013
126.8,8.1,56.1,
126.87,7.3,56.3,1.851
126.94,7.7,60.3,
127,6.7,55.9,2.184
127.06,5.9,58.4,
127.13,6.5,56.5,
127.2,11,56.3,
127.29,6.2,55.4,2.033
127.38,6.1,60.4,
127.46,6.2,62.5,
127.51,6.5,60.7,1.95
127.56,6.4,52.9,
127.61,6.5,52.8,
127.7,12.4,51.3,
127.82,14.2,49.2,
127.93,11.4,53.4,2.073
128.05,6.7,52.7,
128.17,5.4,52.9,
128.28,9.8,50.7,
128.39,3.9,52.8,1.612
128.49,8,48.2,
128.61,8.4,55.6,
128.72,11.1,49.2,1.934
128.84,13.1,51.3,
128.96,8.9,49.3,
129.07,9.6,50.8,
129.16,12.1,53.9,
129.23,10.4,52.7,2.001
129.3,9.4,51.9,
129.37,9.6,50.6,
129.47,9.9,52,
129.61,15.5,55.2,1.536
129.76,15.8,52.4,
129.9,13,53.3,
130.02,13,50,
130.11,9.9,45.7,1.956
130.21,14.1,48.3,
130.3,14.5,52,
130.41,17.7,51,
130.52,13.3,49.9,1.867
130.63,9.7,50.6,
130.74,14.1,54.2,
130.83,8.9,58.3,
130.92,6.6,53.8,1.812
131,11.5,48.7,
131.09,10.4,53.4,
131.19,11.7,54.6,
131.31,12.3,52.9,1.775
131.42,9.8,54.9,
131.54,12.4,51.1,
131.64,9.5,51.9,
131.71,8.8,52.9,1.969
131.78,6.9,51.2,
131.85,9.5,52.3,
131.94,12.7,50.9,
132.06,17.7,51.6,1.81
132.17,9.8,48.8,
132.29,10.9,50.6,
132.39,10.5,52.9,
132.46,10.6,53.3,1.985
132.53,7.4,54.9,
132.6,11.8,50.5,
132.68,8.9,52.4,
132.77,9.6,52.3,1.921
132.85,8.4,53.7,
132.92,8.7,58.5,2.06
132.97,5.5,52.2,
133.05,12.3,53.8,
133.16,11.2,50.9,1.823
133.27,7.4,48.2,
133.38,7.9,53.9,
133.47,7.6,54,
133.55,4.6,53.9,2.019
133.62,6.6,55.2,
133.7,7.8,54.1,
133.81,7.4,54.4,
133.95,7.9,53.2,1.797
134.08,9.4,50.6,
134.22,4.7,50.7,
134.35,6.7,53.5,
134.48,6.3,45.9,2.132
134.61,4.4,47.1,
134.72,10.3,53.7,
134.83,8.9,50.2,1.781
134.93,11.1,52.8,
135.04,10.5,48.6,
135.13,7.5,56.3,
135.22,7,55.9,1.807
135.24,9.63,57.3,
135.31,7.28,58.07,
135.38,3.88,60.41,1.861
135.43,5.93,58.82,
135.47,9.18,57.94,
135.5,8.13,52.95,1.837
135.56,4.8,55.51,
135.65,7,55.63,
135.73,11.18,60.61,
135.84,6.93,62.28,2.067
135.97,5.65,59.24,
136.1,5.95,61.89,
136.22,3.85,55.42,1.958
136.32,5.75,53.43,
136.42,7.73,54.51,
136.54,9.13,61.88,
136.67,8.7,52.15,1.608
136.8,9.7,58.97,
136.9,5.75,57.35,
136.96,5.88,55.78,
137.02,5.48,52.66,1.65
137.12,5.55,55.09,
137.26,11.08,58.06,
137.39,11.1,58.97,1.727
137.53,6.35,59.01,
137.64,6.08,57.69,
137.71,7.05,57.27,
137.78,4.85,60.39,1.778
137.85,7.85,58.7,
137.93,7.6,58.43,
138.03,7.35,57.73,2.07
138.14,11.25,58.31,
138.24,9,57.19,
138.34,5.05,61.56,1.647
138.45,5.68,64.68,
138.55,5.18,61.65,
138.66,3.75,59.25,
138.76,4.55,58.44,1.935
138.86,9.18,58.01,
138.96,7.25,57.43,
139.06,6.55,56.04,
139.16,5.68,55.81,1.73
139.27,4.78,57.5,
139.38,6.03,62.14,
139.49,5.15,57.13,
139.59,6.2,50.73,1.862
139.69,7.6,58.93,
139.8,5.15,56.77,
139.9,8.9,57.64,1.742
140,5.13,55.72,
140.1,6.38,58.46,
140.21,7.4,54.86,
140.31,7.9,53.91,1.887
140.42,5.23,50.64,
140.54,13.18,54.78,
140.67,15.46,54.45,
140.79,6.3,51.65,
140.89,11.5,56.93,
140.96,10.9,58.98,
141.03,8.05,53.82,
141.1,11.35,53,
141.19,6.8,56.37,
141.31,11.8,56.73,
141.43,10.43,57.76,
141.54,11.15,59.02,
141.66,8.65,63.74,
141.75,7.03,59.05,
141.81,5.38,53.32,
141.87,7.68,56.5,
141.93,5.5,58.1,
142.01,11.1,58.91,
142.12,12.65,56.15,
142.23,13.58,58.54,
142.34,8.35,58.33,
142.44,4.25,58.68,
142.55,4.73,60.06,
142.66,5.1,59.9,
142.77,5.55,59.78,
142.86,8.18,59.04,
142.94,8.33,58.28,
143.02,9.1,58.34,
143.1,6.33,59.93,
143.19,4.7,57.13,
143.28,5.4,54.73,
143.38,7.73,59.06,
143.47,7.73,57.22,
143.57,7.78,54.78,
143.67,8.45,56.47,
143.77,11.68,57.41,
143.87,5.43,55.37,
143.96,6.43,59.97,
144.04,6.45,58.14,
144.13,6.33,58.55,
144.21,6.8,58.4,
144.31,8.78,57.69,
144.42,10.6,55.14,
144.54,8.68,57.64,
144.65,7.1,54.42,
144.74,7.48,59.11,
144.8,4.53,55.17,
144.85,6.9,58.38,
144.91,3.6,54.4,
145.01,10.1,56.94,
145.14,12.4,59.8,
145.28,8.88,58.36,
145.41,4.38,57.44,
145.51,4.4,55.7,
145.56,5.98,60.14,
145.61,4.13,54.97,
145.66,5.53,54.83,
145.73,11.15,57.21,
145.81,7.73,57.46,
145.89,7.8,57.02,
145.97,7.83,58.2,
146.04,5.98,58.27,
146.09,6.35,57.06,
146.14,4.78,57.16,
146.19,4.85,57.91,
146.26,4.48,55.91,
146.36,7.33,57.53,
146.45,7.38,52.75,
146.53,10.25,53.06,
146.59,7.08,52.34,
146.65,5.65,54.86,
146.71,4.73,53.14,
146.78,9.23,54.84,
146.85,6.68,55.32,
146.92,5.95,53.11,
146.99,5.5,58.83,
147.07,3.68,57.72,
147.14,6.73,57.3,
147.24,5.18,54.26,
147.36,4.4,55.23,
147.47,6.25,53.36,
147.59,3.13,53.27,
147.68,5.9,59.15,
147.74,5.65,59.7,
147.8,4.83,60.25,
147.86,5.75,59.3,
147.93,6.38,55.8,
148.01,8.03,55.63,
148.1,7.63,53.82,
148.18,5.73,56.57,
148.26,3.45,60.15,
148.33,3.78,60.16,
148.41,3.85,59.63,
148.49,6.05,58.85,
148.56,6.23,58.28,
148.64,6.28,58.46,
148.71,7.15,58.56,
148.78,3.08,56.16,
148.85,4.48,57.36,
148.93,3.18,54.35,
149,5.4,58.45,
149.08,5.4,57.91,
149.17,8.23,57.06,
149.26,6.08,53.16,
149.35,9.4,55.27,
149.44,5.55,54,
149.51,5.03,56.87,
149.56,4.23,56.35,
149.61,6.98,60.88,
149.66,6.4,56.39,
149.74,7.65,54.56,
149.84,7.9,50.67,
149.95,10.6,53.15,
150.05,7.3,53.34,
150.13,4.75,55.3,
150.2,5.78,56.58,
150.27,7.63,60.48,
150.34,6.83,56.43,
150.41,4.6,59.18,
150.49,11.8,54.5,
150.58,7.45,54.51,
150.66,6.05,52.64,
150.73,6.78,58.15,
150.78,5.28,58.47,
150.83,3.78,62.89,
150.88,5.88,55.37,
150.96,9.48,54.99,
151.06,7.33,51.69,
151.16,9.38,54.33,
151.26,6.1,53.1,
151.34,5.68,54.69,
151.4,5.33,57.42,
151.46,4.43,53.23,
151.52,6.53,55.93,
151.57,6.78,54.88,
151.62,8.45,55.72,
151.67,9.03,53.36,
151.71,8.63,55.22,
151.75,5.28,53.8,
151.79,6.38,53.53,
151.86,7.1,53.4,
151.96,9.73,56.51,
152.06,6.15,55.98,
152.16,11.23,58.64,
152.23,7.13,51.76,
152.27,8.65,55.66,
152.32,8.93,58.56,
152.36,5.03,56.49,
152.43,9.18,51.66,
152.53,11.63,50.48,
152.63,7.2,54.71,
152.7,12.18,50.81,
152.73,8.48,53.93,
152.77,8.9,56.04,
152.8,5.7,53.01,
152.86,14.3,50.24,
152.94,12.95,50.41,
153.03,11.93,50.52,
153.11,10.3,52.44,
153.19,8.58,53.26,
153.26,8.73,50.46,
153.33,6.9,54.26,
153.4,8.15,53.89,
153.48,11.43,53.81,
153.57,11.53,52.55,
153.66,13.6,52.23,
153.75,10.18,53.81,
153.83,8.28,57.38,
153.9,7.28,55.04,
153.97,7.93,57.19,
154.04,8.35,55.62,
154.13,4.53,56.46,
154.22,9.13,50.75,
154.32,13.8,49.64,
154.41,8,48.8,
154.5,7.28,57.44,
154.58,7.1,59.17,
154.67,8.58,57.63,
154.75,13.2,56.85,
154.83,7.75,53.19,
154.88,8.13,55.38,
154.91,7.15,56.08,
154.95,8.23,52.64,
155,6.6,50.26,
155.04,7.78,47.03,
155.07,9.78,53.81,
155.1,10.03,53.55,
155.16,5.63,53.07,
155.25,9.48,50.17,
155.33,6.65,56.59,
155.42,6.85,52.1,
155.5,13.2,55.47,
155.58,12.73,54.6,
155.66,10.68,51.45,
155.74,7.35,52.62,
155.82,8.28,58.35,
155.89,8,51.12,
155.96,8.5,53.03,
156.03,7.1,53.87,
156.12,9.45,52.03,
156.21,14.1,53.71,
156.3,13.63,55.34,
156.39,10.5,55.62,
156.46,8.18,54.02,
156.53,6.23,54.13,
156.6,6.65,57.18,
156.67,9.65,54.94,
156.73,6.83,53.97,
156.79,13.18,52.06,
156.85,14.78,55.68,
156.91,7.63,51.97,
156.97,6.98,51.85,
157.04,7.45,55.7,
157.1,7.93,54.64,
157.17,7.15,53.7,
157.24,5.43,54.16,
157.32,12.45,55.85,
157.39,9.33,53.3,
157.47,4.93,53.31,
157.55,5.45,50.04,
157.63,9.28,55.76,
157.7,9.35,56,
157.78,6.53,52.02,
157.85,7.73,56.82,
157.92,12.3,55.54,
157.97,11.13,54.54,
158,7.2,54.1,
158.06,8.38,53.54,
158.15,10.1,55.25,
158.23,11.05,54.96,
158.3,8.75,53.54,
158.35,9.23,54.56,
158.4,7.65,56.78,
158.45,8.38,53.62,
158.51,10.85,55.54,
158.6,7.65,54.81,
158.69,8.63,53.53,
158.76,8.38,57.27,
158.83,9.08,57.03,
158.89,5.53,57.73,
158.96,6.4,59.78,
159.02,8.45,57.05,
159.07,4.93,51.16,
159.13,8.18,51.82,
159.18,5.65,52.17,
159.25,7.53,56.38,
159.33,11.03,57.3,
159.41,8.9,54.99,
159.49,7.13,54.68,
159.56,11.08,55.51,
159.61,9.9,54.79,
159.67,8.93,58.11,
159.72,9.48,56.37,
159.78,11.25,57.68,
159.83,8.13,54.76,
159.89,9.13,55.23,
159.94,7.68,56.58,
160,10.2,55.38,
160.07,11.63,56.91,
160.14,11.5,51.63,
160.21,11.33,56.65,
160.26,5.78,52.32,
160.29,10.25,55.13,
160.32,7.13,54.03,
160.38,9.93,54.9,
160.45,9.95,53.41,
160.52,11.45,56.56,
160.59,10,51.11,
160.65,6.1,58.23,
160.7,4.65,56.88,
160.75,7.93,54.19,
160.8,9.03,52.8,
160.87,10.73,56.32,
160.95,10.85,52.49,
161.04,10.48,50.63,
161.12,6.68,51.74,
161.18,6.43,53.32,
161.23,10.73,59.74,
161.28,6.55,55.09,
161.33,5.23,53.27,
161.4,6.85,55.86,
161.51,10.08,50.38,
161.61,10.85,52.31,
161.72,6.15,52.45,
161.81,7.05,54.97,
161.88,8.35,53.35,
161.95,10.58,54.86,
162.02,8.38,56.89,
162.11,10,56.65,
162.21,10.45,56.67,
162.31,10.88,52.7,
162.41,9.55,51.1,
162.49,7.45,53.52,
162.55,9.73,59.97,
162.62,7.9,59.9,
162.68,9.9,58.79,
162.77,11.63,52,
162.89,11.93,53.72,
163,7.13,52.45,
163.12,8.8,50.92,
163.21,5.53,52.05,
163.27,7.43,54.6,
163.34,9.65,55.19,
163.4,10.5,53.5,
163.48,8.9,52.98,
163.57,7.6,53.45,
163.66,13.88,53.04,
163.75,8,53.91,
163.83,4.73,56.4,
163.91,6.6,57.79,
164,7.55,54.51,
164.08,10.8,52.17,
164.17,10.5,51.19,
164.27,10.95,51.09,
164.36,11.6,49.73,
164.46,9.35,52.32,
164.54,10.4,53.93,
164.6,6.88,53.8,
164.66,5.78,51.8,
164.72,8.78,54.82,
164.79,9.68,57.5,
164.87,14.85,58.34,
164.95,15.4,55.01,
165.03,8.88,55.28,
165.09,7.38,53.01,
165.14,9.88,56.65,
165.18,9.95,54.1,
165.24,15.4,50.59,
165.33,10.38,54.11,
165.41,8.75,54.95,
165.49,7.68,52.35,
165.58,10.03,56.19,
165.64,4.53,58.09,
165.68,5,57.46,
165.72,5.6,53.58,
165.76,8.4,59.31,
165.82,7.25,52.6,
165.89,10.78,54.12,
165.96,12.05,53.78,
166.03,7.78,53.23,
166.09,7.6,52.77,
166.13,6.03,54.83,
166.17,6.95,54.24,
166.21,5.35,56.52,
166.27,9.63,57.46,
166.36,9.33,56.14,
166.45,8.3,57.86,
166.54,6.98,54.75,
166.61,5.93,55.1,
166.68,7.93,54.7,
166.74,8.23,58.03,
166.81,6.2,54.79,
166.89,6.13,53.24,
166.98,7.23,51.92,
167.07,10.58,51.2,
167.16,12.25,53.83,
167.23,4.75,58.12,
167.28,4.7,54.21,
167.33,6.15,51.66,
167.4,9.9,54.71,
167.49,11.83,55.58,
167.58,7.35,55.31,
167.65,7.38,57.73,
167.71,5.35,58.23,
167.77,7.15,55.99,
167.84,7.2,57.07,
167.93,7.78,52.46,
168.02,8.48,52.15,
168.11,6.63,56.99,
168.17,8.5,58.56,
168.22,7.05,58.45,
168.27,5.38,58.49,
168.32,5.23,58.54,
168.4,5.88,57.68,
168.52,10.83,60.86,
168.63,6.98,56.95,
168.72,5.33,54.6,
168.78,5.3,58.95,
168.83,4.5,58.03,
168.89,5.88,54.95,
168.98,10.05,58.27,
169.09,6.15,56.1,
169.2,5.1,54.87,
169.31,7.38,53.63,
169.4,7,57.08,
169.47,5.83,55.78,
169.54,7.15,58.06,
169.61,6.85,53.53,
169.7,9.95,57.14,
169.82,8.1,57.65,
169.95,7.73,58.05,
170.07,5.68,54.72,
170.16,9.08,60.93,
170.22,7.08,51.35,
170.28,5.33,55.05,
170.35,6.05,56.55,
170.44,6.55,56.81,
170.53,5.63,56.91,
170.62,9.28,55.53,
170.69,7.53,54.88,
170.76,7.3,59.63,
170.82,7.45,57.24,
170.9,4.43,54.5,
171.01,8.18,57.38,
171.12,10.03,57.62,
171.22,7.88,53.67,
171.33,5.4,55.93,
171.42,5.48,58.66,
171.5,6.2,57.67,
171.58,3.13,54.77,
171.66,6.18,51.57,
171.74,9.58,52.29,
171.83,8.93,56.97,
171.92,9.6,55.92,
172.02,7.7,53.68,
172.16,5.4,55.85,
172.26,4.88,55.6,
172.4,9.2,53.13,
172.46,10.43,54.51,
172.5,7.2,56.28,
172.62,7.2,55.58,
172.69,5.9,53.44,
172.74,5.48,53.94,
172.88,8.9,56.85,
172.99,9.65,55.28,
173.09,7.38,55.16,
173.27,5.75,55.09,
173.4,5.93,57.1,
173.53,6.95,53.42,
173.67,6.15,56.26,
173.74,7.73,55.62,
173.81,7.15,54.64,
173.94,7.8,55.7,
174.01,5.78,57.21,
174.09,6.85,56.86,
174.16,4.53,58.7,
174.3,6.2,57.48,
174.39,7.15,58.14,
174.5,9.05,56.41,
174.58,7.68,56.26,
174.67,6.78,57.09,
174.79,8.08,54.44,
174.9,4.98,54,
174.99,7.63,56.33,
175.14,7.98,56.9,
175.26,9.68,55.95,
175.38,7.28,58.34,
175.49,9.03,61.76,
175.64,4.55,57.3,
175.73,6.15,54.08,
175.81,7.5,56.95,
175.94,6.18,59.05,
176.03,7,54.99,
176.11,9.3,56.16,
176.18,9.05,56.38,
176.3,5.25,54.24,
176.37,7.18,57.61,
176.44,4.5,55.72,
176.5,5.38,54.71,
176.57,9.13,58.01,
176.72,8.73,55.24,
176.84,10.18,60.03,
176.94,6.8,57.01,
177.05,6.58,55.27,
177.19,7.48,57.45,
177.24,5.23,54.74,
177.3,6.73,58.2,
177.41,4.23,56.04,
177.47,7.65,53.53,
177.53,7.53,58.52,
177.59,3.93,54.08,
177.68,7,56.19,
177.72,5.85,59.86,
177.79,8.25,57.29,
177.87,5.25,53.99,
177.93,7.03,58.13,
177.98,6.7,57.02,
178.08,7.78,58.2,
178.17,6.45,56.87,
178.23,6.18,53.09,
178.33,8.95,56.66,
178.38,8.75,58.53,
178.49,5.6,53.72,
178.58,6.38,54.85,
178.67,7.03,53.11,
178.74,7.48,57.61,
178.88,6.83,56.98,
178.92,6.85,57.2,
178.97,8.03,55.72,
179.03,6.55,57.75,
179.15,6.65,58.43,
179.21,7.23,58.27,
179.28,8.65,57.62,
179.37,7.2,58.14,
179.47,7.98,55.81,
179.51,9.15,55.33,
179.55,6.35,58.73,
179.59,7.25,56.17,
179.7,4.7,55.88,
179.79,7.85,55.05,
179.88,6.6,60.28,
179.99,9.35,58.14,
180.04,9.43,59.25,
180.09,7.85,57.95,
180.14,8.43,60.02,
180.24,6.7,57.03,
180.29,5.93,57.4,
180.34,7.78,62.6,
180.45,5.4,58.09,
180.5,7.4,55.89,
180.54,8.58,55.29,
180.63,7.75,60.03,
180.69,5.65,57.35,
180.73,8.43,54.82,
180.84,7.78,61.75,
180.89,8.35,57.96,
180.94,7.55,60.67,
181.05,10.03,54.54,
181.1,6.68,52.83,
181.15,7.28,52.91,
181.2,5.78,56.96,
181.31,8.75,53.05,
181.36,8.33,55.23,
181.41,8.48,55.36,
181.52,4.6,57.08,
181.57,6.63,57.81,
181.64,5,54.61,
181.7,7.58,53.3,
181.81,9.1,53.83,
181.88,7,51.75,
181.93,8.73,54.36,
181.99,7.98,56.1,
182.12,4.08,56.89,
182.18,4.08,54.06,
182.24,6.4,53.08,
182.31,5.03,52.71,
182.44,5.8,54.17,
182.52,9.75,55.78,
182.59,5.48,56.08,
182.66,6.68,56.05,
182.72,5.35,57.4,
182.86,5.55,50.75,
182.92,6.23,55.66,
183,4.53,52.37,
183.08,4.07,51.78,
183.17,9.82,57.51,
183.21,7.5,56.76,
183.25,6.25,54.58,
183.29,8.87,56.16,
183.41,8.22,51.85,
183.47,6.12,55.6,
183.54,9.9,55.88,
183.68,6.63,58.08,
183.74,10.63,59.57,
183.79,8.45,57.22,
183.83,4.85,61.44,
183.88,5.9,54.54,
183.97,6.45,58.47,
184.02,6.95,60.24,
184.06,7.45,54.89,
184.1,6.12,58.81,
184.19,8.32,60.57,
184.23,10.5,58.56,
184.28,9.08,59.96,
184.32,8.5,58.78,
184.37,5.03,55.16,
184.48,4.68,60.27,
184.56,5.32,59.82,
184.65,7.22,56.18,
184.78,11.02,62.28,
184.84,7.65,58.91,
184.9,10.32,58.5,
185.02,6.77,58.94,
185.07,6.68,59.98,
185.12,6,59.84,
185.18,2.5,55.45,
