Depth,Magentic,Reflectance,d13c
22.87,10.8,51.5,
22.99,11.1,52.6,
23.1,14.1,48.4,
23.2,12,48.7,
23.28,11.3,47.5,1.28
23.37,14.6,51.2,
23.45,16.4,43.5,
23.53,16.5,52.6,
23.61,8.9,40.9,0.991
23.7,16,42.8,
23.78,13.3,45.6,
23.86,11.7,49.3,0.997
23.95,9.9,48,
24.04,12.5,51.1,
24.13,15,46.2,
24.22,11.8,44.5,
24.3,12.7,49.4,1.09
24.39,14.3,48.1,
24.48,13,46.8,
24.57,15.3,46,
24.66,10.6,51.2,
24.77,12.1,49.2,1.031
24.88,10.6,51.5,
24.99,12.3,49.7,
25.09,10.8,46.7,
25.2,9,47.6,1.384
25.31,11.5,48.9,
25.42,12.2,49.5,
25.5,10.5,47.3,
25.56,7.2,52.2,1.267
25.63,8,52.7,
25.69,8.3,42.1,
25.8,12.7,49.3,
25.95,13.3,47,1.516
26.1,13.4,46.2,
26.25,14.2,48.5,
26.36,13.5,52.7,
26.44,11.6,47.3,1.571
26.52,9.4,51.9,
26.64,11.4,49.8,
26.8,12.4,46.4,1.382
26.95,19.7,50.5,
27.11,8.7,57.2,
27.32,6.6,50.4,1.732
27.41,11,54.8,
27.52,15.1,50.8,
27.65,16.4,52.3,1.493
27.77,12.3,46.6,
27.9,11.1,46.9,
28.01,9.7,46.6,1.447
28.1,13.6,48.8,
28.21,16.1,46.5,
28.32,13.4,48.1,1.562
28.43,12.1,49.2,
28.52,17,50,
28.6,8.3,47.7,1.645
28.67,12.2,49.7,
28.8,12.9,47.9,
28.97,14.8,49,1.354
29.17,17.7,45.3,
29.3,11.6,47.5,1.772
29.4,12.7,46.3,
29.51,14.4,45.1,
29.63,9.8,46.3,1.506
29.75,10.5,43.6,
29.87,14.3,46.9,
30.01,13.7,44.7,1.706
30.16,10.4,48,
30.3,15,46.4,
30.43,14.4,49.5,1.534
30.56,16,42.9,
30.69,10.7,46.5,
30.81,11.4,48.9,1.71
30.92,13.5,46.2,
31.05,11.9,49.2,
31.2,12,48.3,1.742
31.35,10.4,50.1,
31.5,10.6,47.3,
31.64,9.8,50,1.659
31.75,10,52.4,
31.85,12,42.7,
31.95,10.1,47.8,1.752
32.04,15.1,49.3,
32.19,10.9,47.9,
32.34,6.9,55.7,1.746
32.53,10.1,47.3,
32.67,8.8,48.2,
32.78,10.7,47.7,1.661
32.89,13.2,43.6,
33,11.8,41.8,
33.1,10.4,47,
33.2,10.6,45.6,1.847
33.3,14.6,39.4,
33.42,13.9,44.2,
33.57,14,44.8,1.248
33.72,15.7,45,
33.87,14.8,42.6,
33.99,11.6,47.8,
34.08,11.7,43,1.757
34.17,14.7,44.6,
34.29,15.9,45.1,
34.44,18.1,44.8,1.274
34.59,17,45.4,
34.74,13.6,46.3,
34.85,11.5,49.6,
34.93,10.6,37.6,1.524
35,12.4,46.2,
35.13,13.9,45.4,
35.3,17.4,44.5,1.282
35.47,15,42.8,
35.64,16.7,47.1,
35.78,11.8,46.5,
35.9,10.2,39.8,1.45
36.02,16.9,42.9,
36.15,17.9,42.9,
36.29,15,41.6,
36.43,14.6,46.3,1.459
36.56,17.2,42.6,
36.7,11.9,44.4,
36.84,14.1,47.6,1.148
36.97,14.1,46.1,
37.1,19.2,43.7,
37.22,21,42.9,
37.35,21.9,44.5,1.261
37.47,16,48.6,
37.59,16.1,46.2,
37.69,17.9,47.4,
37.78,14.3,48.4,1.585
37.87,15.5,46.3,
37.98,15.9,45.5,
38.13,18.5,45.2,
38.28,15.7,44.5,0.73
38.43,9.1,46,
38.58,15,46.7,
38.7,17.7,45,
38.8,11.5,42.1,1.608
38.9,14.6,47.8,
39.02,16.2,46,
39.15,16.6,48,
39.28,16.3,48.5,0.989
39.41,20,44.1,
39.54,11.4,42.8,
39.63,11.5,46.4,
39.72,16.6,41.4,1.481
39.86,16.4,40.7,
40.02,20.3,45.1,1.119
40.18,8.8,49.6,
40.34,13.5,44,
40.46,11.1,48.4,
40.54,8.1,47.5,1.711
40.61,9,47.7,
40.72,11.9,51,
40.86,8.6,46.4,1.646
40.99,10.4,47.5,
41.13,14.7,44.9,
41.25,10.5,47.9,1.602
41.35,10.7,46.8,
41.43,13.7,45,
41.48,14.6,45.9,1.65
41.53,11.5,47.9,
41.59,9.4,45.3,1.337
41.65,9,42.6,
41.75,9.2,48.8,
41.88,13,45.2,
42.01,9.5,47.9,1.489
42.14,11.7,50.7,
42.28,11.6,47.4,
42.41,10.5,51.2,1.511
42.57,8.1,50.6,
42.71,10.4,46.2,
42.84,13.1,44.9,1.392
42.96,12.4,52.5,
43.09,18.3,47.4,
43.19,7.9,51.3,
43.26,14.2,45.3,1.613
43.33,10.9,45.7,
43.43,14.9,51.3,
43.56,10.6,48,1.681
43.68,17,48.4,
43.81,9.2,42.1,
43.91,7.8,48.2,
43.99,8.4,52.7,1.784
44.07,12.8,47.6,
44.18,14.1,44.5,
44.31,11.7,41,1.697
44.44,12.9,45.2,
44.57,17.1,47.1,
44.69,12,49.8,
44.8,11.6,49.4,1.369
44.91,12.5,48.1,
45,12.4,49.1,
45.08,11.9,48.8,1.545
45.17,16,48.1,
45.25,10.9,48.8,
45.37,8.9,50.9,1.889
45.54,11.5,48.9,
45.67,14,47.8,
45.77,12.1,49.4,
45.87,15,44.7,1.578
45.95,18.5,48,
46,13.6,48,
46.05,12.4,52.5,1.853
46.1,12,44.2,
46.16,9.2,46.6,
46.24,15.1,46,
46.32,19.6,47.7,1.667
46.4,14.8,47.3,
46.48,14.8,45.3,
46.57,9.5,52.4,1.712
46.66,15.1,47.3,
46.74,15.8,48.5,
46.82,19.5,47.9,1.483
46.9,11.7,48.3,
46.98,12.7,47.6,
47.05,10.9,45.8,1.329
47.12,15,49.3,
47.22,14.4,43.2,1.635
47.32,15.8,48.7,
47.42,14.2,48,
47.58,12.6,52.6,
47.69,13,46.4,1.01
47.81,11.3,51.2,
47.87,14.9,47.3,
47.97,14.1,50,1.544
48.07,21,45.7,
48.17,16.3,44.4,
48.27,13.6,48.1,
48.38,13.9,46.8,1.629
48.49,11.7,45.3,
48.59,14.8,45.6,
48.68,18,46.7,1.496
48.77,15.3,49,
48.86,14.5,49.7,
48.97,11.8,48.1,
49.09,8.1,52.5,1.457
49.21,11.8,50.1,
49.33,16.1,46.7,
49.44,18.2,47.2,
49.55,17.2,46.6,1.366
49.66,13.5,44.6,
49.77,19.5,46.9,
49.86,16.2,51.8,
49.95,11.4,52.6,1.729
50.03,15.2,45.2,
50.11,13.5,48.3,
50.19,18.3,48.6,1.535
50.28,14,46.3,
50.36,15.6,51.2,
50.44,14.6,47.1,
50.53,12.9,50.9,1.455
50.62,14.4,50.4,
50.7,12.3,50.2,
50.79,17,46.2,1.387
50.88,14.4,42.7,
50.97,13.9,50.3,
51.09,18.9,48.5,
51.26,15.1,49.8,1.659
51.43,12.8,47.2,
51.56,16,50.6,
51.66,15.8,48.8,
51.75,12.4,45.3,
52,16.8,47.1,1.11
52.19,12.6,47.3,
52.38,17.9,47.9,
52.55,16.1,47.3,1.397
52.7,16.5,43.3,
52.83,16,44.6,
52.94,20.6,42.4,
53.05,16.2,44.7,0.709
53.16,15.1,47.2,
53.27,17.9,44,
53.41,15.7,44.6,1.42
53.6,17.7,42.6,
53.72,13.6,45.5,
53.79,18.5,44.7,
53.85,20.8,45,0.79
53.91,15.6,42.7,
53.98,17.5,46,
54.1,17.2,46.3,
54.26,12.9,46.9,1.643
54.41,16.1,44.2,
54.53,15.4,47.1,
54.62,15.9,41.4,
54.7,17.5,45.8,0.9
54.77,19.9,43.1,
54.84,15.9,47.8,
54.9,7.9,48.3,
55,11.1,48.7,
55.14,15.7,44.9,1.482
55.28,13.1,45,
55.4,11.3,48.2,
55.51,17,45.8,
55.62,17.1,45.4,
55.73,18.5,44.9,0.982
55.84,17.5,43.5,
55.95,16.7,46.3,
56.06,15.5,49.3,
56.21,16.2,48.6,
56.4,17.3,51.6,1.63
56.59,11.9,44.4,
56.74,19.3,45.7,
56.84,19.1,51.3,
56.94,17.5,47.4,
57.04,18.7,46.9,1.281
57.14,18.3,44.5,
57.24,19.4,48.4,
57.34,14.9,43.9,
57.42,16.9,43.5,
57.48,15.1,48.5,1.593
57.54,12.8,46.6,
57.64,17.9,43.7,
57.78,14.1,40.6,
57.92,14.9,45.2,0.479
58.06,16.2,45.3,
58.2,11.9,42,
58.33,11.7,46.7,1.67
58.44,11.3,47.7,
58.53,10.9,50.4,
58.6,13.1,42.5,
58.66,12.1,47.1,1.525
58.72,11.2,48.9,
58.79,7.5,49.5,
58.88,4,50.5,
58.99,6.8,52.6,1.307
59.1,7.3,57.2,
59.21,5.5,59.4,
59.34,6,54.8,
59.49,5.7,51.6,0.179
59.64,5.3,51.6,
59.79,6.3,51.6,
59.94,6.1,54.8,1.662
60.09,5.4,54.3,
60.23,8.4,54.5,
60.37,10,48.3,
60.51,10.3,52.5,1.625
60.65,10.3,50.2,
60.79,5.6,49.9,
60.93,6.7,52.4,1.839
61.07,7.3,53.2,1.727
61.2,7.3,47,
61.34,4.4,54.3,1.631
61.49,8.3,51.7,
61.64,10,55.9,1.658
61.79,7.4,55,
61.94,10.2,50.5,
62.05,8.2,56,
62.14,8.3,51.2,1.665
62.22,9.2,46.1,
62.32,7.5,56.3,
62.43,9,47.8,1.757
62.54,10.1,52.6,
62.65,9.3,55.6,
62.76,6.8,53.3,
62.87,8.3,54.7,1.791
62.98,9.1,49.5,
63.09,9.6,52,
63.2,9.5,53.6,1.608
63.31,6.3,53.6,
63.42,11.8,48.9,
63.51,7.4,57.1,
63.6,8.2,55.1,1.848
63.68,9.8,50.1,
63.77,8.6,51.4,
63.88,8.7,49,
63.99,6.3,52.2,1.57
64.1,13.4,50.3,
64.21,5.7,51.1,
64.3,9,53.8,
64.39,5.4,48.1,1.673
64.47,9,45.4,
64.56,11.9,46,
64.67,12,44.1,
64.78,16.1,47.1,1.569
64.89,13.5,49.7,
65,6.4,55.4,
65.09,8.6,51.2,
65.18,4.5,46.9,1.779
65.26,8.1,50.5,
65.34,9.1,46.1,
65.41,9,51,
65.49,14.7,47.9,1.551
65.57,12.8,44.8,
65.64,9.3,48.3,
65.73,6.9,52.8,
65.84,7.3,50.5,1.9
65.94,7.8,45.2,
66.04,11.9,52.3,
66.14,12.9,50.1,1.808
66.23,10.7,47.8,
66.33,17.3,46.8,
66.43,8.7,53,
