Sample ID,Position,sample,Interval Lithology,d13C,d44/40Ca,2sd,87Sr/86Sr,2sd,Sr,Mg,Sr/Ca,Mg/Ca
59,12.4,micritic wackestone,micritic/bioclastic limestones with few marl layers,8.15,,,,,758,2578,1.13,0.014
61,13.4,micritic wackestone,micritic/bioclastic limestones with few marl layers,8.52,0.28,0.04,,,655,2575,0.93,0.013
63,14.5,micritic wackestone,micritic/bioclastic limestones with few marl layers,8.31,,,,,616,3533,1.01,0.021
65,15.5,micritic wackestone,micritic/bioclastic limestones with few marl layers,7.88,0.29,0.03,0.708674,0.000012,748,3634,1.05,0.018
67,16.5,micritic wackestone,micritic/bioclastic limestones with few marl layers,8.04,0.3,0.04,,,593,2588,0.94,0.015
68,17,micritic wackestone,micritic/bioclastic limestones with few marl layers,7.95,,,,,643,2332,1.03,0.013
70,17.9,micritic wackestone,micritic/bioclastic limestones with few marl layers,7.82,0.35,0.04,,,545,2616,0.84,0.015
70 dup,17.9,micritic wackestone,micritic/bioclastic limestones with few marl layers,7.82,0.33,0.03,,,,,,
71,18.3,packstone,crinoidal wackestones and packstones ,7.01,,,,,523,2200,0.8,0.012
73,19,packstone,crinoidal wackestones and packstones,6.97,0.54,0.04,0.708632,0.000011,418,3212,0.58,0.016
74,19.4,packstone,crinoidal wackestones and packstones,6.27,,,,,,,,
75,19.8,packstone,crinoidal wackestones and packstones,5.07,,,,,539,2317,0.81,0.013
76,20.3,packstone,crinoidal wackestones and packstones,4.72,0.48,0.04,0.708589,0.00001,419,1784,0.79,0.012
77,20.8,packstone,crinoidal wackestones and packstones,3.55,,,,,,,,
78,21.3,packstone,crinoidal wackestones and packstones,3.31,0.72,0.03,,,394,2283,0.54,0.011
80,22.3,packstone,crinoidal wackestones and packstones,2.35,,,,,,,,
82,23.3,packstone,crinoidal wackestones and packstones,1.4,0.76,0.03,,,342,1840,0.55,0.011
84,24.3,packstone,crinoidal wackestones and packstones,0.78,0.74,0.04,,,258,1898,0.5,0.013
85,24.8,packstone,crinoidal wackestones and packstones,0.71,0.99,0.03,0.708493,0.000015,301,2798,0.5,0.017
87,25.8,packstone,crinoidal wackestones and packstones,0.2,0.6,0.03,,,333,2949,0.52,0.017
88,26.3,packstone,crinoidal wackestones and packstones,-0.4,0.78,0.03,,,335,2917,0.49,0.015
90,27.3,packstone,crinoidal wackestones and packstones,0.03,0.76,0.03,,,287,2686,0.5,0.017
92,28.3,packstone,crinoidal wackestones and packstones,0.17,0.75,0.04,0.708542,0.000018,229,2103,0.47,0.016
94,28.95,wackestone,bioclastic wackestone with large cephalopods ,-1.04,0.67,0.03,,,487,1249,0.88,0.008
95,29.2,micritic wackestone,micritic and sparitic limestones (age = Pridoli),-1.09,0.43,0.03,,,313,2259,0.56,0.015
98,31.1,micritic wackestone,micritic and sparitic limestones (age = Pridoli),-0.05,0.43,0.04,,,603,2023,1,0.012
